prodID,pName,brand,category,quantityAvailable,price,discount,discountedPrice,profitPerUnit
PR34,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,Himmlisch,Car Interior & Exterior,7062,6999.0,72.87,1899.0,265.86
PR35,Rapter BNC-179 BNC Wire Connector,Rapter,Hardware & Electricals,2681,2299.0,39.1,1400.0,392.0
PR36,Rapter BNC-047 BNC Wire Connector,Rapter,Hardware & Electricals,5231,1299.0,30.79,899.0,323.64
PR37,Roadster Men's Zipper Solid Cardigan,Roadster,Winter & Seasonal Wear,3919,1399.0,50.04,699.0,181.74
PR38,HRS ULTIMATE BOY Chest Pads,HRS,Cricket,2159,440.0,10.23,395.0,71.1
PR39,Vermello Men Casual Brown Genuine Leather Belt,Vermello,Vermello Belts,6683,1495.0,46.82,795.0,103.35
PR40,HRS CLUB BOY Thigh Pads,HRS,Cricket,4689,280.0,10.71,250.0,82.5
PR41,Ligans NY Men Formal Black Genuine Leather Belt,Ligans NY,Ligans NY Belts,9523,795.0,12.58,695.0,229.35
PR42,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,Elegance,Curtains,7012,1899.0,52.66,899.0,152.83
PR43,Liza Women Wedges,Liza,Wedges,1956,1990.0,30.0,1393.0,362.18
PR44,HRS ULTIMATE BOY Elbow Pads,HRS,Cricket,4282,250.0,8.0,230.0,75.9
PR45,Sathiyas Cotton Bath Towel,Sathiyas,Baby Bath Towels,1045,600.0,25.17,449.0,157.15
PR46,HRS ULTIMATE MEN Chest Pads,HRS,Cricket,9109,440.0,10.23,395.0,110.6
PR47,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,SANTOSH ROYAL FASHION,Bedsheets,5515,2699.0,51.87,1299.0,246.81
PR48,CASEDEAL Microsoft Nokia lumia x2 Back Panel,CASEDEAL,Mobile Body Panels,4845,1999.0,80.99,380.0,148.2
PR49,Mario Gotze Women's Printed Casual Orange Shirt,Mario Gotze,Western Wear,2162,1499.0,40.03,899.0,143.84
PR50,Jaipur Print Cotton Floral King sized Double Bedsheet,Jaipur Print,Bedsheets,3725,2599.0,73.14,698.0,258.26
PR51,Shilpi NHSCN003 Coin Bank,Shilpi,Coin Banks,1826,900.0,27.78,650.0,195.0
PR52,Jaipur Print Cotton Floral King sized Double Bedsheet,Jaipur Print,Bedsheets,9114,2599.0,73.14,698.0,132.62
PR53,Babeezworld Dungaree Baby Boy's  Combo,Babeezworld,Baby Boys' Clothes,6396,999.0,50.05,499.0,109.78
PR54,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,Redbag,Showpiece,1348,1600.0,25.0,1200.0,240.0
PR55,"Proence Weight Gainers, Mass Gainers",Proence,Protein Supplements,9098,1025.0,7.41,949.0,180.31
PR56,Discountgod Men's Checkered Casual Shirt,Slim,Shirts,2638,750.0,21.33,590.0,112.1
PR57,Silver Streak Men's Printed Casual Denim Shirt,Slim,Shirts,8126,1299.0,53.89,599.0,227.62
PR58,Reckler Slim Fit Men's Jeans,Slim,Jeans,1753,5398.0,51.85,2599.0,753.71
PR59,Wrangler Skanders Fit Men's Jeans,Skanders,Jeans,9856,2795.0,34.99,1817.0,472.42
PR60,Wrangler Regular Fit Men's Jeans,Regular,Jeans,8820,3295.0,45.01,1812.0,688.56
PR61,NE Regular Fit Men's Jeans,Regular,Jeans,5739,4999.0,62.01,1899.0,531.72
PR62,Roadster Skinny Fit Fit Men's Jeans,Skinny Fit,Jeans,1175,2499.0,50.02,1249.0,237.31
PR63,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",ezyPRNT,Golf,8546,1195.0,50.21,595.0,124.95
PR64,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",ezyPRNT,Golf,5255,1195.0,50.21,595.0,119.0
PR65,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",ezyPRNT,Golf,1246,1195.0,50.21,595.0,119.0
PR66,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",ezyPRNT,Golf,1991,1195.0,50.21,595.0,202.3
PR67,Traditions Printed Protective Men's Gloves,Traditions,Accessories & Combo Sets,7062,500.0,20.2,399.0,91.77
PR68,First Choice Cotton Embroidered Diwan Set,First Choice,Diwan Sets,6498,2199.0,55.48,979.0,146.85
PR69,Eccellente Solid Hip Hop Cap,Eccellente,"Lingerie, Sleep & Swimwear",1629,899.0,62.63,336.0,120.96
PR70,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,Nechams,Boards & Dusters,9452,1799.0,55.59,799.0,247.69
PR71,Traditions Printed Protective Men's Gloves,Traditions,Accessories & Combo Sets,4539,500.0,20.2,399.0,131.67
PR72,First Choice Cotton Embroidered Diwan Set,First Choice,Diwan Sets,7503,2199.0,55.48,979.0,352.44
PR73,First Choice Cotton Embroidered Diwan Set,First Choice,Diwan Sets,8392,2199.0,55.48,979.0,176.22
PR74,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,JASPO,Skating,2597,1399.0,44.96,770.0,84.7
PR75,Masaba for Magic fairy Girl's Layered Pink Dress,Masaba for Magic fairy,Girls Wear,2946,1775.0,9.97,1598.0,175.78
PR76,Momin Libas AK2414 Kashibo Solid Abaya No,Momin Libas,Ethnic Wear,8711,3999.0,40.04,2398.0,431.64
PR77,ACM Pouch for Swipe Elite Plus,ACM,Mobile Pouches,3041,990.0,65.76,339.0,81.36
PR78,A R ENTERPRISES musical wlking cow,A R ENTERPRISES,A R ENTERPRISES Musical Instruments & Toys,1041,999.0,70.07,299.0,80.73
PR79,First Choice Cotton Embroidered Diwan Set,First Choice,Diwan Sets,3395,2199.0,55.48,979.0,254.54
PR80,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,SANTOSH ROYAL FASHION,Diwan Sets,5917,2199.0,55.48,979.0,156.64
PR81,First Choice Cotton Embroidered Diwan Set,First Choice,Diwan Sets,4800,2199.0,55.48,979.0,264.33
PR82,ShoeBuzz Casuals,ShoeBuzz,Casual Shoes,7471,799.0,69.09,247.0,74.1
PR83,Zed Loafers,Zed,Casual Shoes,8669,499.0,0.0,499.0,49.9
PR84,House This Queen Cotton Duvet Cover,House This,Duvet Covers,1710,1160.0,0.0,1160.0,440.8
PR85,ACM Pouch for Intex Aqua Lions 3g,ACM,Mobile Pouches,6677,990.0,65.76,339.0,77.97
PR86,womaniya Alloy Bracelet,womaniya,Bracelets,2004,2000.0,40.0,1200.0,432.0
PR87,Taj Pearl Alloy Cuff,Taj Pearl,Bracelets,5628,665.0,40.0,399.0,83.79
PR88,JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,JASPO,Skating,9950,2299.0,44.76,1270.0,279.4
PR89,Taj Pearl Alloy Cuff,Taj Pearl,Bracelets,6481,665.0,40.0,399.0,151.62
PR90,Bento Musical Teddy Bear,Bento,Bento Musical Instruments & Toys,3275,199.0,68.34,63.0,16.38
PR91,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,Wake Up Competition,Winter & Seasonal Wear,7390,1495.0,49.97,748.0,149.6
PR92,Taj Pearl Alloy Cuff,Taj Pearl,Bracelets,2024,665.0,40.0,399.0,83.79
PR93,Taj Pearl Alloy Cuff,Taj Pearl,Bracelets,6499,665.0,40.0,399.0,63.84
PR94,JQR JQR Sports Shoes Running Shoes,JQR,Sports Shoes,6124,1299.0,0.0,1299.0,337.74
PR95,JQR JQR Sports Shoes Running Shoes,JQR,Sports Shoes,6187,999.0,0.0,999.0,359.64
PR96,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",Great Art,Accessories,4982,1099.0,55.14,493.0,113.39
PR97,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,Zoe Marciano,Clutches,6427,1599.0,56.29,699.0,174.75
PR98,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,Zoe Marciano,Clutches,5920,1599.0,56.29,699.0,181.74
PR99,"Kleio Festive, Party, Casual Blue PU  Clutch",Kleio,Clutches,8172,1899.0,47.39,999.0,369.63
PR100,Skipper Blends Aqua Striped Eyelet Window Curtain,Skipper,Curtains,2497,1733.0,40.05,1039.0,207.8
PR101,Mizuno Lightweight Hoody Solid Men's Wind Cheater,Mizuno,Winter & Seasonal Wear,7260,4999.0,0.0,4999.0,799.84
PR102,"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",Turbo,Cricket,5481,1637.0,50.03,818.0,98.16
PR103,"Turbo LEAGUE Batting Gloves (Men, White, Blue)",Turbo,Cricket,7122,1232.0,50.0,616.0,203.28
PR104,Stamin Mass Gainers,Stamin,Protein Supplements,7295,2300.0,15.0,1955.0,723.35
PR105,Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,Pure Source,Home Fragrances,3659,1250.0,70.0,375.0,101.25
PR106,Kings Multicolor Tassels,Kings,Curtain Accessories,3167,1000.0,75.1,249.0,92.13
PR107,Van Heusen Men's Printed Party Shirt,Slim,Shirts,2618,2099.0,30.01,1469.0,528.84
PR108,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,Eshoppee,Eshoppee Showpieces,7199,799.0,50.06,399.0,51.87
PR109,Fashion Tree Men's Solid Formal Shirt,Slim,Shirts,4332,999.0,65.07,349.0,45.37
PR110,Fashion Tree Men's Solid Formal Shirt,Slim,Shirts,6159,999.0,65.07,349.0,38.39
PR111,Fashion Tree Men's Solid Formal Shirt,Slim,Shirts,3737,999.0,65.07,349.0,122.15
PR112,Peter England Men's Solid Formal Shirt,Slim,Shirts,8034,1399.0,0.0,1399.0,167.88
PR113,Lee Mark Men's Solid Formal Shirt,Slim,Shirts,6918,1699.0,64.74,599.0,107.82
PR114,Living World by Home Stop Solid Wood Display Unit,Living World by Home Stop,Display Units,4640,5499.0,0.0,5499.0,1264.77
PR115,Status Quo Men's Solid Casual Shirt,Regular Fit,Shirts,8491,1699.0,50.03,849.0,144.33
PR116,Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm,Karigaari,Karigaari Showpieces,2836,4500.0,54.44,2050.0,369.0
PR117,Totta Pouch for Sony Xperia M5 Dual,Totta,Mobile Pouches,9020,799.0,50.06,399.0,83.79
PR118,Lee Mark Men's Solid Formal Shirt,Slim,Shirts,6423,1699.0,64.74,599.0,89.85
PR119,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,2235,7999.0,57.87,3370.0,1314.3
PR120,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,3736,5299.0,54.71,2400.0,360.0
PR121,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,5841,5899.0,51.18,2880.0,345.6
PR122,DailyObjects Back Cover for iPad Mini/Retina Display,DailyObjects,Cases & Covers,1422,1999.0,15.71,1685.0,640.3
PR123,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,3823,5899.0,51.18,2880.0,345.6
PR124,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,5405,7999.0,57.87,3370.0,640.3
PR125,JDX Plain Bed/Sleeping Pillow,JDX,Pillows,1996,10999.0,57.28,4699.0,1550.67
PR126,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Riva Carpets,Bath Mats,9872,1899.0,0.0,1899.0,436.77
PR127,Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527,Riva Carpets,Bath Mats,2248,1799.0,0.0,1799.0,611.66
PR128,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Riva Carpets,Bath Mats,8441,1899.0,0.0,1899.0,569.7
PR129,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Riva Carpets,Bath Mats,4269,1899.0,0.0,1899.0,379.8
PR130,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Riva Carpets,Bath Mats,7313,1899.0,0.0,1899.0,246.87
PR131,Wise Guys Pouch for Lenovo S880,Wise Guys,Mobile Pouches,1064,249.0,0.0,249.0,27.39
PR132,Myesquire Square Pot Aroma Electric Burner Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,4174,1600.0,60.75,628.0,100.48
PR133,Myesquire Black and White Aroma Burner Combo Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,7365,750.0,58.67,310.0,46.5
PR134,Myesquire Oval Electric Aroma Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,7786,890.0,33.71,590.0,212.4
PR135,Myesquire Oval Electric Aroma Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,6609,955.0,37.28,599.0,197.67
PR136,Parron Men's Solid Casual Shirt,Slim,Shirts,9046,1449.0,51.76,699.0,139.8
PR137,Parron Men's Solid Casual Shirt,Slim,Shirts,5650,1449.0,58.73,598.0,95.68
PR138,Parron Men's Printed Casual Shirt,Slim,Shirts,9611,1449.0,51.76,699.0,146.79
PR139,Parron Men's Solid Casual Shirt,Slim,Shirts,9313,1549.0,51.65,749.0,224.7
PR140,Parron Men's Solid Casual Shirt,Slim,Shirts,3736,1549.0,51.65,749.0,202.23
PR141,Myesquire Ceramic Coffee Burner Pot Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,8243,349.0,29.8,245.0,24.5
PR142,Myesquire Blue Green Aroma Burner Combo Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,9661,790.0,64.56,280.0,30.8
PR143,Myesquire White Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,2457,790.0,65.82,270.0,51.3
PR144,Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,2512,790.0,65.82,270.0,56.7
PR145,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,6334,349.0,29.8,245.0,75.95
PR146,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,Myesquire,Home Fragrances,6888,349.0,29.8,245.0,71.05
PR147,Zenescope Entertainment Wonderland The Board Game,Zenescope Entertainment,Board Games,6610,5834.0,15.02,4958.0,991.6
PR148,Twilight Creations Humans 3 Zombiecon Board Game,Twilight Creations,Board Games,6052,1326.0,15.01,1127.0,214.13
PR149,Dungri India Craft Ducjug008-ducgl017-2 Jug Glass Set,Dungri India Craft,"Jug, Glass & Tray Sets",5671,1599.0,18.76,1299.0,311.76
PR150,Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set,Dungri India Craft,"Jug, Glass & Tray Sets",6778,1599.0,12.51,1399.0,391.72
PR151,Newworld RTNE Pack Of One -583 Tempered Glass for Xiaomi Mi 4i,Newworld,Screen Guards,7686,599.0,70.78,175.0,33.25
PR152,Newworld RTNE Pack Of One -446 Tempered Glass for Intex Aqua Sense,Newworld,Screen Guards,7182,599.0,70.78,175.0,50.75
PR153,Hariom Enterprises Polypropylene Stick Folders,Hariom Enterprises,Files and Folders,4014,1599.0,68.79,499.0,54.89
PR154,Hariom Enterprises Polypropylene Plastic file cover,Hariom Enterprises,Files and Folders,2326,999.0,60.06,399.0,139.65
PR155,BFT 6 W LED Bulb,BFT,Bulbs,5996,350.0,0.0,350.0,115.5
PR156,Lamy Screen Metalic with Stylus Ball Pen,Lamy,Pens & Notebooks,3200,2150.0,10.0,1935.0,309.6
PR157,Medimix Transparent with Glycerine And Lakshadi,Medimix,Soaps,8942,129.0,0.0,129.0,38.7
PR158,American-Elm Solid Men's Waistcoat,American-Elm,Suits & Blazers,2071,1099.0,50.05,549.0,115.29
PR159,BFT 6 W LED Cool White Bulb,BFT,Bulbs,6618,1400.0,28.57,1000.0,250.0
PR160,LG MC3286BLT 32 L Convection Microwave Oven,LG,Microwave Ovens,9721,18490.0,8.11,16990.0,1699.0
PR161,BFT 9 W LED Bulb,BFT,Bulbs,5778,800.0,0.0,800.0,96.0
PR162,Raymond Checkered Men's Waistcoat,Raymond,Suits & Blazers,6907,3999.0,50.01,1999.0,219.89
PR163,BFT 9 W LED Bulb,BFT,Bulbs,8169,350.0,28.57,250.0,72.5
PR164,Furst USB Adapter with Cable For Dzire VC Battery Charger,Furst,Mobile Chargers,8154,999.0,75.08,249.0,87.15
PR165,Furst USB Adapter with Cable For Mt X (2nd Gen) Battery Charger,Furst,Mobile Chargers,4178,999.0,75.08,249.0,79.68
PR166,Furst USB Adapter with Cable For Lnvo Vibe P1M Battery Charger,Furst,Mobile Chargers,9490,999.0,75.08,249.0,77.19
PR167,Furst USB Adapter with Cable For A7 Battery Charger,Furst,Mobile Chargers,1265,999.0,75.08,249.0,39.84
PR168,Furst USB Adapter with Cable For Dzire SV Battery Charger,Furst,Mobile Chargers,1226,999.0,75.08,249.0,94.62
PR169,Furst USB Adapter with Cable For Xp Z5 Battery Charger,Furst,Mobile Chargers,5225,999.0,75.08,249.0,62.25
PR170,Furst USB Adapter with Cable For Lnvo Sisley S90 Battery Charger,Furst,Mobile Chargers,6957,999.0,75.08,249.0,89.64
PR171,Furst USB Adapter with Cable For One Dual Sim Battery Charger,Furst,Mobile Chargers,1545,999.0,75.08,249.0,79.68
PR172,Furst USB Adapter with Cable For Core Prime Battery Charger,Furst,Mobile Chargers,7944,999.0,75.08,249.0,32.37
PR173,Furst USB Adapter with Cable For Xp Miro Battery Charger,Furst,Mobile Chargers,2061,999.0,75.08,249.0,69.72
PR174,KalaBhawan Stair Sculpture Showpiece  -  39 cm,KalaBhawan,Showpieces,9110,2199.0,36.38,1399.0,405.71
PR175,Serebroarts Iron Decorative Platter,Serebroarts,Decorative Platters,1436,2199.0,50.02,1099.0,274.75
PR176,Sunrise Showpiece  -  28 cm,Sunrise,Sunrise Showpieces,1111,2081.0,0.0,2081.0,374.58
PR177,Jayanti sarees Party Embroidered Women's Kurti,Jayanti sarees,Ethnic Wear,1558,999.0,40.04,599.0,119.8
PR178,JMD Printed Cushions Cover,JMD,"JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...",1641,499.0,20.04,399.0,111.72
PR179,Mom and Kid Baby Girl's Printed Green Top & Pyjama Set,Mom and Kid,Baby Girls' Clothes,5426,999.0,69.07,309.0,37.08
PR180,reckonon red heart 011 Umbrella,reckonon,Golf,7862,4999.0,50.01,2499.0,749.7
PR181,Zebra Outdoors,Zebra,For Girls,8129,1245.0,0.0,1245.0,423.3
PR182,JMD Printed Cushions Cover,JMD,"JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...",5311,499.0,20.04,399.0,147.63
PR183,Devinez Home Liquid Air Freshener,Devinez,Home Fragrances,7868,699.0,57.22,299.0,68.77
PR184,Kripa's Printed Cushions Cover,Kripa's,"Kripa's Printed Cushions Cover (Pack of 2, 45 cm...",4682,500.0,20.0,400.0,120.0
PR185,ROSEMOORE Home Gel Air Freshener,ROSEMOORE,Home Fragrances,5447,350.0,0.0,350.0,122.5
PR186,Itiha Home Liquid Air Freshener,Itiha,Home Fragrances,4568,749.0,46.73,399.0,47.88
PR187,Itiha Home Liquid Air Freshener,Itiha,Home Fragrances,1610,749.0,46.73,399.0,103.74
PR188,Itiha Home Liquid Air Freshener,Itiha,Home Fragrances,3111,749.0,46.73,399.0,79.8
PR189,"Mom and Kid Baby Girl's Printed Blue, Grey Top & Pyjama Set",Mom and Kid,Baby Girls' Clothes,5638,999.0,69.07,309.0,52.53
PR190,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,9833,1499.0,56.7,649.0,71.39
PR191,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,8705,1499.0,56.7,649.0,71.39
PR192,TRESemme Naturals Nourishing Moisture Conditioner Aloe Vera And Avocado,TRESemme,Conditioners,3216,2696.0,6.57,2519.0,1007.6
PR193,AKUP love-music Ceramic Mug,AKUP,AKUP Coffee Mugs,3416,500.0,48.2,259.0,82.88
PR194,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,5787,2495.0,61.96,949.0,237.25
PR195,AKUP beautiful Ceramic Mug,AKUP,AKUP Coffee Mugs,3169,500.0,48.2,259.0,54.39
PR196,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,1564,1995.0,57.44,849.0,254.7
PR197,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,1770,1499.0,56.7,649.0,201.19
PR198,MohanJodero Showpiece  -  46 cm,MohanJodero,Ethnic,1196,1599.0,37.52,999.0,169.83
PR199,Burt s Bees Hair Repair Shea And Grapefruit Deep Conditioner,Burt s Bees,Conditioners,7774,2712.0,53.98,1248.0,486.72
PR200,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,3433,1499.0,56.7,649.0,103.84
PR201,AKUP happy-thanks-giving Ceramic Mug,AKUP,AKUP Coffee Mugs,3463,500.0,48.2,259.0,44.03
PR202,AKUP i-loves-music Ceramic Mug,AKUP,AKUP Coffee Mugs,8297,500.0,48.2,259.0,49.21
PR203,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,1022,1499.0,56.7,649.0,71.39
PR204,AKUP dream-big-work-hard Ceramic Mug,AKUP,AKUP Coffee Mugs,7620,500.0,48.2,259.0,93.24
PR205,AKUP i-love-my-mom Ceramic Mug,AKUP,AKUP Coffee Mugs,8613,500.0,48.2,259.0,28.49
PR206,AKUP one-gud-thing-about-music Ceramic Mug,AKUP,AKUP Coffee Mugs,5762,500.0,48.2,259.0,25.9
PR207,AKUP dad-a-daughters-first-love Ceramic Mug,AKUP,AKUP Coffee Mugs,3847,500.0,48.2,259.0,72.52
PR208,AKUP happy-mothers-day Ceramic Mug,AKUP,AKUP Coffee Mugs,5294,500.0,48.2,259.0,95.83
PR209,AKUP i-love-music Ceramic Mug,AKUP,AKUP Coffee Mugs,8402,500.0,48.2,259.0,64.75
PR210,AKUP keep-calm Ceramic Mug,AKUP,AKUP Coffee Mugs,6031,500.0,48.2,259.0,72.52
PR211,AKUP ur-own-kind Ceramic Mug,AKUP,AKUP Coffee Mugs,4748,500.0,48.2,259.0,77.7
PR212,AKUP i-love-dubstep Ceramic Mug,AKUP,AKUP Coffee Mugs,3740,500.0,48.2,259.0,98.42
PR213,AKUP i-creid-because Ceramic Mug,AKUP,AKUP Coffee Mugs,3246,500.0,48.2,259.0,95.83
PR214,D-Link DAP1320,D-Link,Routers,6169,3500.0,43.49,1978.0,514.28
PR215,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,7817,1995.0,57.44,849.0,339.6
PR216,AKUP league-of-legends Ceramic Mug,AKUP,AKUP Coffee Mugs,5777,500.0,48.2,259.0,44.03
PR217,Suave Naturals Everlasting Sunshine Conditioner,Suave,Conditioners,5381,2300.0,51.04,1126.0,326.54
PR218,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,1403,1499.0,56.7,649.0,227.15
PR219,AKUP life-is-not-living Ceramic Mug,AKUP,AKUP Coffee Mugs,6439,500.0,48.2,259.0,41.44
PR220,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,6063,1499.0,56.7,649.0,194.7
PR221,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",Mynte,Sports & Gym Wear,5212,2495.0,61.96,949.0,370.11
